#delta n_first_order
0.001 0.504728974473913
0.002 0.5047211669462961
0.003 0.5047139080534232
0.004 0.5047056393964529
0.005 0.5046898505024063
0.006 0.5046674501207034
0.007 0.5046646142122492
0.008 0.5046315977051345
0.009000000000000001 0.5046150827838365
0.01 0.5045988176603567
0.011 0.5045667330968241
0.012 0.5045505911665074
0.013000000000000001 0.5045185432414309
0.014 0.5044864925552283
0.015 0.5044544357710096
0.016 0.5044223718902212
0.017 0.5043903008336672
0.018000000000000002 0.5043582228700679
0.019 0.5043261383903418
0.02 0.5042781429796994
0.021 0.5042460478385596
0.022 0.5041980448773041
0.023 0.5041659408882021
0.024 0.5041179322783559
0.025 0.5040699221400498
0.026000000000000002 0.504037808670475
0.027 0.5039897955503607
0.028 0.503941782222832
0.029 0.5038937691134138
0.03 0.5038457566358612
0.031 0.5037977451928006
0.032 0.503733845737229
0.033 0.5036858390162448
0.034 0.5036378345050245
0.035 0.5035739476822881
0.036000000000000004 0.5035259502421041
0.037 0.5034779561024341
0.038 0.5034140855198992
0.039 0.5033661006385255
0.04 0.5033022433306821
0.041 0.5032383940700467
0.042 0.5031745532409235
0.043000000000000003 0.5031265927559472
0.044 0.5030627681265274
0.045 0.5029989530113307
0.046 0.5029351477650208
0.047 0.502871352735383
0.048 0.5028075682635473
0.049 0.5027437946841985
0.05 0.5026800323257765
0.051000000000000004 0.5026004249048062
0.052000000000000005 0.5025366879166614
0.053 0.5024729631205517
0.054 0.5024092508214564
0.055 0.5023297027148856
0.056 0.5022660183543554
0.057 0.5021865029180415
0.058 0.5021228477339107
0.059000000000000004 0.5020433662644007
0.06 0.5019797414523026
0.061 0.5019002952029987
0.062 0.5018208681074919
0.063 0.5017572921017851
0.064 0.5016779020487557
0.065 0.5015985320660759
0.066 0.501519182455473
0.067 0.5014556761898749
0.068 0.5013763659285442
0.069 0.5012970768988061
0.07 0.5012178093839365
0.07100000000000001 0.5011385636627949
0.07200000000000001 0.5010593400099186
0.073 0.5009801386956135
0.074 0.5009009599860416
0.075 0.5008060001832756
0.076 0.5007268698780025
0.077 0.50064776296751
0.078 0.5005686797020258
0.079 0.5004896203280348
0.08 0.5003947933459002
0.081 0.5003157849681898
0.082 0.5002210144641281
0.083 0.5001420580837841
0.084 0.5000473451016776
