#delta n_PS_dimer n_PS_topo
0.008 0.5000000650197735 0.5001403723675809
0.01 0.5000001524358513 0.5002101101314056
0.012 0.5000002195873272 0.5002084389486215
0.014 0.5000003986834467 0.5002736369733095
0.016 0.5000005209878166 0.5002736058623178
0.018000000000000002 0.5000007697074131 0.5003356045894912
0.02 0.5000009508551749 0.5003339714326379
0.022 0.500001398063168 0.5003911702110742
0.024 0.5000016650852273 0.5003879334711857
0.026000000000000002 0.5000021858984798 0.5004435113232999
0.028 0.5000025374146106 0.500437081748594
0.03 0.5000032226148903 0.5004878590966838
0.032 0.5000036704415126 0.500476650399472
0.034 0.5000039506495318 0.5004702078391196
0.036000000000000004 0.5000048778111628 0.5005129996019654
0.038 0.5000059364078523 0.500551007226601
0.04 0.5000067021027095 0.5005397803440315
0.042 0.5000080434949574 0.5005682359041944
0.044000000000000004 0.5000084877872157 0.50055382907094
0.046 0.5000089048672675 0.5005362520761938
0.048 0.5000101349553357 0.5005567481196695
0.05 0.5000114759227516 0.5005788170220757
0.052 0.500011938155286 0.5005533094664932
0.054 0.5000134368755893 0.5005642668036582
0.056 0.5000141775599658 0.5005356000606584
0.058 0.5000145797713477 0.5005069451632378
0.060000000000000005 0.500015639181253 0.5005052269682524
0.062 0.5000167399085117 0.5004987570044012
0.064 0.5000162567656962 0.5004637954654627
0.066 0.5000184929430919 0.5004446758178572
0.068 0.5000177188673707 0.5004065805004125
0.07 0.5000177868194551 0.5003795761128683
0.07200000000000001 0.500016655810339 0.5003494235165781
0.07400000000000001 0.5000163642921436 0.500300319637984
0.07600000000000001 0.5000146578120298 0.5002433432056475
0.07800000000000001 0.5000126794104496 0.500199037802533
0.08000000000000002 0.5000095769247703 0.5001452839189909
0.08199999999999999 0.5000067368099308 0.5000789337316378
0.08399999999999999 0.5000017752890422 0.5000142035304554
